username, created_at, lng, lat, text
DJSerScratch, Fri Jan 29 20:44:19 +0000 2021, -73.950000, 40.650000, The Friday Night Coolout Volume XLVThe Doin It In Da Park Edition @ 8pm @ Brooklyn, New York https://t.co/W7Nbw9GKhR 
Luis_FHC, Fri Jan 29 20:44:19 +0000 2021, -99.152340, 19.328383, @NFLonFOX @TomBrady https://t.co/jp3M0JzQSK 
sabiyahh_, Fri Jan 29 20:44:19 +0000 2021, -74.232784, 40.725694, @G_Burrito @DregexNoir *sigh* igh. go. 
goaskalexandra, Fri Jan 29 20:44:19 +0000 2021, -81.834138, 41.313033, @theestallion Love it 
KarlyOaxaca, Fri Jan 29 20:44:19 +0000 2021, -98.082815, 22.560886, Faltan 🤣😂 
CarlaWVTM13, Fri Jan 29 20:44:19 +0000 2021, -86.760091, 33.385555, https://t.co/X5ScV5BORG 
guitarorth, Fri Jan 29 20:44:19 +0000 2021, -122.042544, 47.542814, Join me and @AMarch4OurLives in demanding @RepMTG resign from Congress.  https://t.co/IphPrYN3DhBe gone… https://t.co/BjRVUPx26L 
waitsandco, Fri Jan 29 20:44:19 +0000 2021, -96.761753, 32.819858, Since @GOPLeader and the @GOP are unwilling to hold their own accountable, and continue to take orders from a disgr… https://t.co/03oQAO0LEl 
bonorodriguez, Fri Jan 29 20:44:20 +0000 2021, -103.335882, 20.676652, @Sandgz Jajajaja amor ya te di la propuesta, hoy mismo aventajo con eso para darle 😎💪🏽 
tatoenguix, Fri Jan 29 20:44:20 +0000 2021, -85.751142, 30.176313, @CTalavera14 Iay, mamamela pues 
JUSTINGAGN0N, Fri Jan 29 20:44:20 +0000 2021, -95.584618, 29.893566, DIAMOND HANDS BABY 
yoronnyg, Fri Jan 29 20:44:20 +0000 2021, -74.638748, 40.403347, This looks like rocket league and twisted metal I’m hyped 🔥👍 
pathinterrupted, Fri Jan 29 20:44:20 +0000 2021, -85.231089, 43.096626, @BetsyAdamus @theKevinGarcia_ https://t.co/ZE3Wh7kAZM 
Luh_Marvo55, Fri Jan 29 20:44:20 +0000 2021, -76.255686, 36.895082, I swear I thought I made this version up in my head 
rjordan114, Fri Jan 29 20:44:20 +0000 2021, -95.446486, 29.838495, @TeamRHJAZ Sad day! 
theyluvmi, Fri Jan 29 20:44:20 +0000 2021, -84.270277, 33.726083, I don’t need a man obsessed with me. I need him obsessed with so many other things. 
